Product_ID|Product_Name|Product_Line|News|Type|Led|Lens|Peak|Lmin|Typ|Ifma|Total|Material|Product_Price|Product_SH|PDF|Sort
1|AND2451RGL|AND Optoelectronics|N|Dual Color LEDs|Red/Green|Milky, Diffused|700/567|0.7/0.8|1.2/2.7|10|120|GaAsP/GaP|0|0|AND2451.pdf|1
2|AND126SG|AND Optoelectronics|N|Dual Color LEDs|Red/Green|Milky, Diffused|635/565|12/12|14/14|10|60|GaAsP/GaP|0|0|AND126SG.pdf|2
3|AND116SG|AND Optoelectronics|N|Dual Color LEDs|Red/Green|Milky, Diffused|635/565|10/10|12/12|10|70|GaAsP/GaP|0|0|AND116SG.pdf|3
4|AND208SGA|AND Optoelectronics|N|Dual Color LEDs|Red/Green|Milky, Diffused|625/565|8.0/8.0|14.0/14.0|10|110|GaAsP/GaP|0|0|AND208SGA.pdf|4
5|AND208YGA|AND Optoelectronics|N|Dual Color LEDs|Yellow/Green|Milky, Diffused|590/565|3.2/8.0|6.0/14.0|10|110|GaAsP/GaP|0|0|AND208YGA.pdf|5
